array_type,time,element_size,checksum
SQ, 0.009074, 1152, 549770476255
HAT, 0.082085, 1152, 549770476255
MSarray_2, 0.248459, 1152, 549770476255
MSarray_3, 0.217303, 1152, 549770476255
MSarray_4, 0.442273, 1152, 549770476255
geo, 0.005446, 1168, 549770476255
mono, 0.007386, 1168, 549770476255
sliced, 0.011753, 1168, 549770476255
SQ, 0.006934, 1168, 549770476255
HAT, 0.098353, 1168, 549770476255
MSarray_2, 0.195869, 1168, 549770476255
MSarray_3, 0.233873, 1168, 549770476255
MSarray_4, 0.470558, 1168, 549770476255
geo, 0.004754, 1184, 549770476255
mono, 0.003860, 1184, 549770476255
sliced, 0.019252, 1184, 549770476255
SQ, 0.004887, 1184, 549770476255
HAT, 0.095728, 1184, 549770476255
MSarray_2, 0.177847, 1184, 549770476255
MSarray_3, 0.242195, 1184, 549770476255
MSarray_4, 0.459567, 1184, 549770476255
geo, 0.002756, 1200, 549770476255
mono, 0.004228, 1200, 549770476255
sliced, 0.014643, 1200, 549770476255
SQ, 0.006223, 1200, 549770476255
HAT, 0.100680, 1200, 549770476255
MSarray_2, 0.234576, 1200, 549770476255
MSarray_3, 0.208065, 1200, 549770476255
MSarray_4, 0.494512, 1200, 549770476255
geo, 0.006783, 1216, 549770476255
mono, 0.003453, 1216, 549770476255
sliced, 0.008207, 1216, 549770476255
SQ, 0.008000, 1216, 549770476255
HAT, 0.052944, 1216, 549770476255
MSarray_2, 0.187685, 1216, 549770476255
MSarray_3, 0.195266, 1216, 549770476255
MSarray_4, 0.466675, 1216, 549770476255
geo, 0.002646, 1232, 549770476255
mono, 0.006242, 1232, 549770476255
sliced, 0.007407, 1232, 549770476255
SQ, 0.004135, 1232, 549770476255
HAT, 0.055512, 1232, 549770476255
MSarray_2, 0.207882, 1232, 549770476255
MSarray_3, 0.218079, 1232, 549770476255
MSarray_4, 0.474184, 1232, 549770476255
geo, 0.003626, 1248, 549770476255
mono, 0.005806, 1248, 549770476255
sliced, 0.007611, 1248, 549770476255
SQ, 0.007178, 1248, 549770476255
HAT, 0.069558, 1248, 549770476255
MSarray_2, 0.300445, 1248, 549770476255
MSarray_3, 0.230893, 1248, 549770476255
MSarray_4, 0.478423, 1248, 549770476255
geo, 0.005805, 1264, 549770476255
mono, 0.004209, 1264, 549770476255
sliced, 0.015473, 1264, 549770476255
SQ, 0.007186, 1264, 549770476255
HAT, 0.104031, 1264, 549770476255
MSarray_2, 0.203376, 1264, 549770476255
MSarray_3, 0.225064, 1264, 549770476255
MSarray_4, 0.572863, 1264, 549770476255
geo, 0.004622, 1280, 549770476255
mono, 0.005491, 1280, 549770476255
sliced, 0.012237, 1280, 549770476255
SQ, 0.007895, 1280, 549770476255
HAT, 0.054639, 1280, 549770476255
MSarray_2, 0.197929, 1280, 549770476255
MSarray_3, 0.214653, 1280, 549770476255
MSarray_4, 0.494707, 1280, 549770476255
geo, 0.004937, 1296, 549770476255
mono, 0.005147, 1296, 549770476255
sliced, 0.015639, 1296, 549770476255
SQ, 0.007944, 1296, 549770476255
HAT, 0.104016, 1296, 549770476255
MSarray_2, 0.258450, 1296, 549770476255
MSarray_3, 0.280078, 1296, 549770476255
MSarray_4, 0.480425, 1296, 549770476255
geo, 0.003320, 1312, 549770476255
mono, 0.003983, 1312, 549770476255
sliced, 0.015381, 1312, 549770476255
SQ, 0.005186, 1312, 549770476255
HAT, 0.099614, 1312, 549770476255
MSarray_2, 0.201657, 1312, 549770476255
MSarray_3, 0.256028, 1312, 549770476255
MSarray_4, 0.511684, 1312, 549770476255
geo, 0.005733, 1328, 549770476255
mono, 0.005761, 1328, 549770476255
sliced, 0.016403, 1328, 549770476255
SQ, 0.010344, 1328, 549770476255
HAT, 0.088875, 1328, 549770476255
MSarray_2, 0.298508, 1328, 549770476255
MSarray_3, 0.284101, 1328, 549770476255
MSarray_4, 0.506793, 1328, 549770476255
geo, 0.006556, 1344, 549770476255
mono, 0.005356, 1344, 549770476255
sliced, 0.006407, 1344, 549770476255
SQ, 0.006430, 1344, 549770476255
HAT, 0.099625, 1344, 549770476255
MSarray_2, 0.289278, 1344, 549770476255
MSarray_3, 0.278136, 1344, 549770476255
MSarray_4, 0.512202, 1344, 549770476255
geo, 0.004526, 1360, 549770476255
mono, 0.005343, 1360, 549770476255
sliced, 0.008687, 1360, 549770476255
SQ, 0.002814, 1360, 549770476255
HAT, 0.081974, 1360, 549770476255
MSarray_2, 0.286206, 1360, 549770476255
MSarray_3, 0.244907, 1360, 549770476255
MSarray_4, 0.505318, 1360, 549770476255
geo, 0.004924, 1376, 549770476255
mono, 0.002956, 1376, 549770476255
sliced, 0.004991, 1376, 549770476255
SQ, 0.008089, 1376, 549770476255
HAT, 0.077096, 1376, 549770476255
MSarray_2, 0.257975, 1376, 549770476255
MSarray_3, 0.267527, 1376, 549770476255
MSarray_4, 0.567742, 1376, 549770476255
geo, 0.005531, 1392, 549770476255
